_id,press,title,content
65e80bda8b0bc9bad7e1c213,경인일보,"보증금 떼일 걱정 NO, 개별 호실로 편안하게… 코리빙 ‘디어스판교’","/윤혜경기자hyegyung@kyeongin.com이미 서울지역에선 청년 1인 가구 등을 중심으로 기업형 코리빙하우스가 각광받고 있다. 오피스텔·빌라 등 비아파트를 중심으로 전세사기 논란이 수도권에서 끊이지 않는 가운데, 젊은 직장인이 다수인 판교에도 하나 둘 등장하는 모양새다. 이지스는 가..."
65e80bdc8b0bc9bad7e1c214,강원도민일보,"원주혁신도시 AI 복합시설 건립, VR 스튜디오 선보인다",코리빙 하우스 '커먼타운' 브랜드를 운영 중인 코오롱하우스비전은 오피스텔 일부 호실을 위탁 운영할 예정이다. 코오롱하우스비전은 코리빙 사업 운영 노하우와 역량으로 입주자 니즈(needs)를 반영한 다양한 공용공간과 특색있는 프로그램 운영 등 전에 없던 새로운 라이프스타일을 지원할 계획이다....
65e80bde8b0bc9bad7e1c215,데일리경제,"유니언플레이스, 에이플러스리얼티와 코리빙 및 시니어하우스 업무추진 위한 ...","좌측부터) 에이플러스리얼티 하상관 부사장, 전영하 대표이사, 유니언플레이스 이장호 대표이사, 박지빈 이사가 업무 협약을 위한 사진 촬영에 임하고 있다.(사진 제공=유니언플레이스) 유니언플레이스(대표 이장호)는 공유주거()와 시니어 등 공동 사업 시행에 대한 양사간의 상호협력과 신뢰관계..."
65e80be08b0bc9bad7e1c216,아시아투데이,"""깡통전세 우려 없어요""…코리빙 하우스 '신촌 맹그로브' 가보니","공유 주거 상품으로 인기 1인 가구 대상… ""사생활 보장"" 보증금 500만원·계약 6개월 주기 1인 가구가 늘면서 공유 주거 상품인 '코리빙 하우스'가 주목받고 있다. 코리빙 하우스는 기존 공유 주거의 통상적인 개념인 쉐어하우스보다 개인·공용 공간이 각각 모두 강화된 거주 형태를 말한다. 원룸 등으로 개인..."
65e80be28b0bc9bad7e1c217,더벨,"[더벨]에스엘플랫폼, 길동 코리빙하우스 사업 '제자리걸음'",신영그룹 에스엘플랫폼(SLP)과 메테우스자산운용이 추진 중이던 코리빙하우스 사업이 제자리걸음을 걷고 있다. 오피스텔을 매입해 코리빙하우스로 개발할 계획이었으나 투자자 유치에 실패한 영향이다. 메테우스자산운용 측 귀책사유인 만큼 SLP도 신규 파트너사를 알아보기 시작했다. 5일 관련업계에...
65e80be48b0bc9bad7e1c218,이투데이,"빔모빌리티, 코오롱하우스비전 코리빙 브랜드 ‘커먼타운’과 파트너십 체결","이투데이=정수천 기자 | 퍼스널모빌리티 공유서비스 기업 빔모빌리티가 코오롱하우스비전의 코리빙(co-living)브랜드 커먼타운과 파트너십을 체결하고, 입주민들에게 새로운 도심 이동 편의성을 제공한다고 29일 밝혔다. 커먼타운은 코오롱비전이 공유주거 라이프스타일을 개발ㆍ선도하기 위해 2016년에..."
65e80be68b0bc9bad7e1c219,헤럴드경제,‘코리빙하우스’도 전문 브랜드로 수요 몰려… 공간 트렌드 반영한 가산 모비...,"-전문 운영사가 관리하는 브랜드 ‘코리빙하우스’, 새로운 주거 대안으로 주목 -주거기능 외 전문적인 운영프로그램까지 더해져 토탈 라이프스타일 센터로 진화 -가산디지털단지역 역세권 ‘가산 모비우스 타워’… 386개 개인실 및 다양한 커뮤니티 구성 -가산 모비우스 타워 , ‘아묻따새집’..."
65e80be88b0bc9bad7e1c21a,서울경제,‘따로 또 같이’ 각자공생룸 트렌드에 ‘가산 모비우스 타워 코리빙하우스’...,"다가올 공간 트렌드로 ‘아묻따새집’ ‘각자공생룸’ ‘데믹 프리존’ 등이 주요 키워드로 꼽히는 가운데, 이러한 트렌드를 모두 아우르는 ‘코리빙하우스’가 주목받고 있다. 피데스개발은 2023년 미래주택 소비자 인식조사와 전문가 세션, 세계 각 국의 트렌드 분석 등을 바탕으로 ▲케어 HUB ▲메가 로컬러..."
65e80bea8b0bc9bad7e1c21b,헤럴드경제,"2030대 직장인, ‘직주근접’ 수요 높아… 도심형 코리빙하우스 ‘가산 모비우...","-‘주택 구입시 외적 요인 고려사항’으로 ‘교통/출퇴근의 편리성’ 꼽은 응답자 비중 43.9%로 가장 많아 -20~30대, 비역세권 아파트보다 역세권 비아파트 선호… 직주근접 선호 경향 두드러져 -쉐어하우스보다 개인•공용 공간 모두 강화된 ‘’, 다양한 커뮤니티 시설 갖추며 새로운 주거..."
65e80bec8b0bc9bad7e1c21c,한국경제TV,"젊은 직장인 주거 수요 밀집된 G밸리, 임대형기숙사 ‘가산 코리빙하우스’ 주...",최근 공유주거의 일종인 ‘코리빙하우스’가 새로운 주거 대안으로 주목 받고 있다. 코리빙하우스는 기존 공유주거의 통상적인 개념인 쉐어하우스보다 개인·공용 공간이 각각 모두 강화된 거주형태를 말한다. 지난 2월 국토교통부가 관련 건축법을 개정을 통해 ‘임대형기숙사’ 용도를 신설하면서 규모의...
